COUNTRY,COVID_VACCINE_ADM_TOT_A1D,COVID_VACCINE_ADM_TOT_BOOST,COVID_VACCINE_ADM_TOT_CPS,COVID_VACCINE_ADM_TOT_DOSES,COVID_VACCINE_ADM_TOT_DOSES_PER100,COVID_VACCINE_COV_TOT_A1D,COVID_VACCINE_COV_TOT_BOOST,COVID_VACCINE_COV_TOT_CPS,COVID_VACCINE_DATE_INTRO_FIRST,COVID_VACCINE_DATE_REPORT_TOT_LAST,DATE
BTN,699116.000000000,634641.000000000,677669.000000000,2011426.000000000,261.000000000,91.000000000,82.000000000,88.000000000,2021-03-27,2022-10-30,2023-02-26
BTN,699116.000000000,634641.000000000,677669.000000000,2011426.000000000,261.000000000,91.000000000,82.000000000,88.000000000,2021-03-27,2022-10-30,2023-03-26
BTN,699116.000000000,634641.000000000,677669.000000000,2011426.000000000,261.000000000,91.000000000,82.000000000,88.000000000,2021-03-27,2022-10-30,2023-04-30
BTN,699116.000000000,634641.000000000,677669.000000000,2011426.000000000,261.000000000,91.000000000,82.000000000,88.000000000,2021-03-27,2022-10-30,2023-05-28
BTN,699116.000000000,634641.000000000,677669.000000000,2011426.000000000,261.000000000,91.000000000,82.000000000,88.000000000,2021-03-27,2022-10-30,2023-06-25
BTN,699116.000000000,634641.000000000,677669.000000000,2011426.000000000,261.000000000,91.000000000,82.000000000,88.000000000,2021-03-27,2022-10-30,2023-07-30
BTN,699116.000000000,634641.000000000,677669.000000000,2011426.000000000,261.000000000,91.000000000,82.000000000,88.000000000,2021-03-27,2022-10-30,2023-08-27
BTN,699116.000000000,634641.000000000,677669.000000000,2011426.000000000,261.000000000,91.000000000,82.000000000,88.000000000,2021-03-27,2022-10-30,2023-09-24
BTN,699116.000000000,634641.000000000,677669.000000000,2011426.000000000,261.000000000,91.000000000,82.000000000,88.000000000,2021-03-27,2022-10-30,2023-10-29
BTN,699116.000000000,634641.000000000,677669.000000000,2011426.000000000,261.000000000,91.000000000,82.000000000,88.000000000,2021-03-27,2022-10-30,2023-11-26
NAM,496475.000000000,64392.000000000,426681.000000000,825518.000000000,32.000000000,20.000000000,3.000000000,17.000000000,2021-03-19,2023-12-31,2022-05-29
NAM,501862.000000000,69648.000000000,431660.000000000,838263.000000000,33.000000000,20.000000000,3.000000000,17.000000000,2021-03-19,2023-12-31,2022-06-26
NAM,556375.000000000,82629.000000000,482539.000000000,903935.000000000,36.000000000,22.000000000,3.000000000,19.000000000,2021-03-19,2023-12-31,2022-07-31
NAM,583889.000000000,136928.000000000,510333.000000000,943372.000000000,37.000000000,23.000000000,5.000000000,20.000000000,2021-03-19,2023-12-31,2022-08-28
NAM,592168.000000000,159210.000000000,515304.000000000,956345.000000000,38.000000000,23.000000000,6.000000000,20.000000000,2021-03-19,2023-12-31,2022-09-25
NAM,596431.000000000,159381.000000000,519541.000000000,963100.000000000,38.000000000,23.000000000,6.000000000,20.000000000,2021-03-19,2023-12-31,2022-10-30
NAM,599942.000000000,181190.000000000,522979.000000000,968359.000000000,38.000000000,24.000000000,7.000000000,21.000000000,2021-03-19,2023-12-31,2022-11-27
NAM,604359.000000000,220960.000000000,527634.000000000,974979.000000000,38.000000000,24.000000000,9.000000000,21.000000000,2021-03-19,2023-12-31,2022-12-25
NAM,607153.000000000,260730.000000000,530286.000000000,978652.000000000,39.000000000,24.000000000,10.000000000,21.000000000,2021-03-19,2023-12-31,2023-01-29
NAM,609788.000000000,294111.000000000,532641.000000000,981899.000000000,39.000000000,24.000000000,12.000000000,21.000000000,2021-03-19,2023-12-31,2023-02-26
NAM,614026.000000000,294832.000000000,536587.000000000,987241.000000000,39.000000000,24.000000000,12.000000000,21.000000000,2021-03-19,2023-12-31,2023-03-26
NAM,615707.000000000,298376.000000000,538196.000000000,989412.000000000,39.000000000,24.000000000,12.000000000,21.000000000,2021-03-19,2023-12-31,2023-04-30
NAM,617642.000000000,298560.000000000,540073.000000000,991860.000000000,39.000000000,24.000000000,12.000000000,21.000000000,2021-03-19,2023-12-31,2023-05-28
NAM,621048.000000000,298560.000000000,543255.000000000,996057.000000000,39.000000000,24.000000000,12.000000000,21.000000000,2021-03-19,2023-12-31,2023-06-25
